-0.094696, -0.897674, -3.701148
-0.093896, -0.881926, -3.662041
-0.110401, -0.759604, -3.749668
-0.090322, -0.796516, -3.647897
-0.025823, -0.892884, -3.701678
-0.033368, -0.833453, -3.621614
-0.032453, -0.788575, -3.733573
-0.038043, -0.757152, -3.629250
-0.261092, -0.881914, -3.687435
-0.260970, -0.834413, -3.677026
-0.271386, -0.773958, -3.735161
-0.282887, -0.811791, -3.675439
-0.184730, -0.856100, -3.708431
-0.176513, -0.839141, -3.680814
-0.165617, -0.810020, -3.705595
-0.203478, -0.789959, -3.610857
-0.449023, -0.850585, -3.688337
-0.409779, -0.829606, -3.611178
-0.384752, -0.811316, -3.758515
-0.380067, -0.794535, -3.666987
-0.373905, -0.846565, -3.749620
-0.320208, -0.868734, -3.665602
-0.303593, -0.808741, -3.745369
-0.353300, -0.813720, -3.640744
-0.574366, -0.834705, -3.716518
-0.580808, -0.870619, -3.622746
-0.556269, -0.824744, -3.725696
-0.600189, -0.789214, -3.671509
-0.516431, -0.871753, -3.711670
-0.459300, -0.889888, -3.627810
-0.457990, -0.822556, -3.755644
-0.523071, -0.780819, -3.682736
-0.740974, -0.827952, -3.731891
-0.678441, -0.842310, -3.671993
-0.745442, -0.779521, -3.712212
-0.745234, -0.762866, -3.678063
-0.644695, -0.842611, -3.684566
-0.660736, -0.875844, -3.675667
-0.629861, -0.817849, -3.708488
-0.628801, -0.764832, -3.678036
-0.863538, -0.881304, -3.689399
-0.828778, -0.871945, -3.610584
-0.849005, -0.814860, -3.738200
-0.834778, -0.755439, -3.640339
-0.817800, -0.860607, -3.685534
-0.819555, -0.873506, -3.616052
-0.752062, -0.760075, -3.723213
-0.752724, -0.762149, -3.647534
-0.897585, -0.706440, -3.694867
-0.857420, -0.742347, -3.658896
-0.879462, -0.665358, -3.756341
-0.866014, -0.645038, -3.657670
-0.808935, -0.703120, -3.719035
-0.779624, -0.694762, -3.683028
-0.766302, -0.660992, -3.732609
-0.750594, -0.645836, -3.640283
